host_time,hw_timestamp,id_hex,frame_type,dlc,error,data_hex
2026-05-16T19:54:07.256,0,0X00C,STD/DATA,0,0,
2026-05-16T19:54:07.256,20000,0X7B3,STD/DATA,8,0,53 49 4D 2D 41 55 54 48
2026-05-16T19:54:07.256,40000,0X7B3,STD/RTR,0,0,
2026-05-16T19:54:07.256,60000,0X00E,STD/DATA,8,0,53 49 4D 4A 53 4D 30 33
2026-05-16T19:54:07.256,80000,0X783,STD/DATA,8,0,22 10 01 00 03 00 00 00
2026-05-16T19:54:07.256,90000,0X793,STD/DATA,8,0,60 10 01 00 03 00 00 00
2026-05-16T19:54:07.256,100000,0X043,STD/DATA,1,0,01
2026-05-16T19:54:07.256,110000,0X043,STD/DATA,1,0,80
2026-05-16T19:54:07.256,120000,0X051,STD/DATA,1,0,01
2026-05-16T19:54:07.256,130000,0X050,STD/DATA,4,0,50 01 00 01
2026-05-16T19:54:07.256,140000,0X061,STD/DATA,2,0,00 01
2026-05-16T19:54:07.256,150000,0X060,STD/DATA,4,0,60 01 00 01
2026-05-16T19:54:07.256,160000,0X1C240301,EXT/DATA,1,0,01
2026-05-16T19:54:07.256,170000,0X0A040300,EXT/DATA,1,0,28
2026-05-16T19:54:07.256,180000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.256,190000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.256,200000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.256,210000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.256,220000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.256,230000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,240000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,250000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,260000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,270000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,280000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,290000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,300000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,310000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,320000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,330000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,340000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,350000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,360000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,370000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,380000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,390000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,400000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,410000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,420000,0X02000300,EXT/DATA,2,0,00 00
2026-05-16T19:54:07.257,430000,0X02000300,EXT/DATA,2,0,00 00
